Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Jefatura de Adquisiciones #007000997,2292440,5310,ANÁLISIS DIMENSIONAL (TERCERA VUELTA),LA-007000997-E295-2021,2021-08-19,2021-07-09 16:23,2021-07-30 09:00,Nacional,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2582034,MEDIDOR DE RUGOSIDAD SUPERFICIAL,ANÁLISIS DIMENSIONAL (TERCERA VUELTA),2021-08-19,2022-02-21,1166100,MXN,Expirado,0,0,CIE8411266S9,CIENTEC SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2006647
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2335727,5310,"""LAVADORA DESCONTAMINADORA PARA DOS ENDOSCOPIOS (REPROCESADOR AUTOMÁTICO) CON FI",AA-012NCD001-E420-2021,,2021-09-29 10:14,2021-09-10 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2594703,LAVADORA DESCONTAMINADORA PARA DOS ENDOSCOPIOS (REPROCESADOR AUTOMÁTICO) CON FI,"""LAVADORA DESCONTAMINADORA PARA DOS
ENDOSCOPIOS (REPROCESADOR AUTOMÁTICO) CON
FILTROS        
1. Reprocesamiento automático
2.Intervalo de temperatura: desde el ambiente hasta 52°C
3.Posibilidad de elegir ciclos simultáneos o independientes
4.Dos tinas de reprocesamiento independientes
5.Ciclos de máximo 28 minutos
6.Ciclo de secado con aire
7.Ciclos de lavado con % de alcohol
8.Desinfección de alto nivel
8.1   Compatible con desinfectantes de Alto Nivel
8.2   Tiempo de contacto mínimo de 5 minutos a 25° C y 35°C
9. Con prueba de fugas del endoscopio
10. Sistema de filtro de agua en tres etapas
10.1  Pre filtrado de agua de 0.45micras
10.2  Filtro de agua de 0.2µ
11. Control continuo de los parámetros de los ciclos
12. Monitoreo del estado del cielo de reprocesamiento       
13. Impresora para documentación de procesos de desinfección
14. Alarma audible ante deficiencias en el procesamiento
15. Carga y descarga automática de desinfectantes
""
",2021-09-10,2021-12-31,1396200,MXN,Expirado,0,0,FME941104GN8,FUJIFILM DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2038891
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2326388,5310,PIPETAS,AA-012NCD001-E382-2021,,2021-09-07 14:46,2021-08-24 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2582379,PIPETAS,PIPETAS,2021-08-24,2021-12-31,154838,MXN,Expirado,0,0,MTO930218QSA,METTLER TOLEDO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2030968
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2326620,2950,BANCO DE BATERIAS PARA EQUIPO PORTATIL DE RAYOS X MARCA: FUJIFILM,AA-012NCD001-E399-2021,,2021-09-07 17:11,2021-08-31 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2582756,BANCO DE BATERIAS PARA EQUIPO PORTATIL DE RAYOS X MARCA: FUJIFILM Expediente: 2326620 - BANCO DE BATERIAS PARA EQUIPO PORTATIL DE RAYOS X MARCA: FUJIFILM (CompraNet)Contenido principalContenido principal,"BANCO DE BATERIAS PARA EQUIPO PORTATIL DE RAYOS X MARCA: FUJIFILM, MODELO FDR NANO SERIE 97250964",2021-08-31,2021-12-31,123220,MXN,Expirado,0,0,FME941104GN8,FUJIFILM DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2031140
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,2245500,2950,"LA-050GYR039-E57-2021 ""ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO""",LA-050GYR039-E57-2021,2021-07-09,2021-03-25 22:10,2021-06-29 09:00,Internacional bajo TLC,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2583247,D211003,ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO,2021-07-29,2021-12-31,20280,MXN,Expirado,0,0,CSI130326HD1,CIRKLOMED SOLUCIONES INTEGRALES SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1964060
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,2245500,2950,"LA-050GYR039-E57-2021 ""ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO""",LA-050GYR039-E57-2021,2021-07-09,2021-03-25 22:10,2021-06-29 09:00,Internacional bajo TLC,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2583272,D211006,ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO,2021-07-29,2021-12-31,31696,MXN,Expirado,0,0,JME000530MB8,JAR MEDICAL SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1964060
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,2245500,2950,"LA-050GYR039-E57-2021 ""ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO""",LA-050GYR039-E57-2021,2021-07-09,2021-03-25 22:10,2021-06-29 09:00,Internacional bajo TLC,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2583273,D211007,ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO,2021-09-08,2021-12-31,98716.8,MXN,Expirado,0,0,MAS101012CC9,MEDICAL ADVANCED SUPPLIES SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1964060
IMSS,Instituto Mexicano del Seguro Social,"IMSS-UMAE Hospital de Traumatología y Ortopedia de Puebla, Oficina de Adquisiciones #050GYR091",2318840,5310,SERVICIO INTEGRAL DE DIGITALIZACIÓN,AA-050GYR091-E101-2021,,2021-08-25 17:19,2021-08-25 10:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2582182,SERVICIO INTEGRAL DE DIGITALIZACIÓN,SERVICIO INTEGRAL DE DIGITALIZACIÓN,2021-08-26,2021-09-10,255000,MXN,Expirado,0,0,PST980309Q7A,PRODUCTOS STANTON SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2025317
IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",IPICYT-Dirección de Administración y Finanzas #03891W001,2294411,3540,Pólizas de mantenimiento a equipos de laboratorio ,AA-03891W001-E208-2021,,2021-07-05 11:30,2021-07-08 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2583688,Mantenimiento equipo ELIX 35,Mantenimiento equipo ELIX 35,2021-09-08,2021-09-24,37466,MXN,Expirado,0,0,,ERIC RODRIGUEZ NAVA,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2004247
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,2245500,2950,"LA-050GYR039-E57-2021 ""ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO""",LA-050GYR039-E57-2021,2021-07-09,2021-03-25 22:10,2021-06-29 09:00,Internacional bajo TLC,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2583235,D211001,ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO,2021-07-29,2021-12-31,1299710.08,MXN,Expirado,0,0,ARK960326NR4,ARKANUM SA DE CV ,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1964060
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,2245500,2950,"LA-050GYR039-E57-2021 ""ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO""",LA-050GYR039-E57-2021,2021-07-09,2021-03-25 22:10,2021-06-29 09:00,Internacional bajo TLC,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2583289,D211009,ADQUISICION DE CONSUMIBLES PARA EQUIPO MEDICO,2021-07-29,2021-12-31,2699653.18,MXN,Expirado,0,0,OBE100208CV4,OBEA SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1964060
SSA,Secretaría de Salud,SSA-Dirección General de Recursos Materiales y Servicios Generales #012000991,2326801,3540,MANTENIMIENTO CORRECTIVO Y PREVENTIVO A EQUIPO MÉDICO,AA-012000991-E224-2021,,2021-09-08 09:29,2021-06-30 12:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2582934,"MANTENIMIENTO CORRECTIVO Y PREVENTIVO A EQUIPO MÉDICO, CONSISTENTE EN 23 EQUIPOS DE REFRIGERACIÓN PROPIEDAD DEL HOSPITAL NACIONAL HOMEOPÁTICO","MANTENIMIENTO CORRECTIVO Y PREVENTIVO A EQUIPO MÉDICO, CONSISTENTE EN 23 EQUIPOS DE REFRIGERACIÓN PROPIEDAD DEL HOSPITAL NACIONAL HOMEOPÁTICO",2021-07-01,2021-12-31,311285,MXN,Expirado,0,0,KSI180309AC7,KYLMA SERVICIOS DE INGENIERIA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2031317
HJM,Hospital Juárez de México,HJM-Dirección de Administración #012NAW001,2303860,3540,SOLICITUD DE COTIZACION PARA EL SERVICIO DE MANTENIMIENTO DEL SIMULADOR MEVASIMS,AA-012NAW001-E602-2021,,2021-09-07 11:52,2021-08-30 10:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2581983,"HJMS/088/2021 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SIMULADOR MODELO ""MEVASIMS""","HJMS/088/2021 SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SIMULADOR MODELO ""MEVASIMS""",2021-09-01,2021-12-16,435000,MXN,Expirado,0,0,EAV050804EU0,ELECTROMEDICA AVILA SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2012506
CONAGUA,Comisión Nacional del Agua,CONAGUA-Subdirección General de Administración #016B00015,2308808,3540,Servicio de Mantenimiento Preventivo y Correctivo de Equipos e Instrumentos ,IA-016B00015-E62-2021,2021-09-02,2021-08-09 14:19,2021-08-25 11:00,Nacional,Servicios,INVITACIÓN A CUANDO MENOS 3 PERSONAS,Electrónica,2582100,Servicio de Mantenimiento Preventivo y Correctivo de Equipos e Instrumentos Varios,"Servicio de Mantenimiento Preventivo y Correctivo de Equipos e Instrumentos Varios del Laboratorio Nacional de Referencia
",2021-09-03,2021-09-21,212150,MXN,Expirado,0,0,,ROBERTO BLANCO LUNAR,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2017252
IMSS,Instituto Mexicano del Seguro Social,IMSS-ESTADO DE MEXICO PONIENTE #050GYR024,2324360,5310,Mínima Invasión endoscopías de aparato respiratorio-digestivo adulto NOTIFICACIO,AA-050GYR024-E557-2021,,2021-09-24 09:54,2021-09-03 08:00,Internacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2591714,Mínima Invasión endoscopías de aparato respiratorio-digestivo adulto NOTIFICACION ,Mínima Invasión endoscopías de aparato respiratorio-digestivo adulto NOTIFICACION ,2021-09-03,2021-10-28,1033533.03,MXN,Expirado,0,0,GOR070404QU7,GRUPO ORINLA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2037112
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2326503,5310,DESMINERALIZADORES DE AGUA POR MEDIO DEL SISTEMA DE ÓSMOSIS INVERSA,AA-012NCD001-E385-2021,,2021-09-07 15:46,2021-08-24 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2582537,DESMINERALIZADORES DE AGUA POR MEDIO DEL SISTEMA DE ÓSMOSIS INVERSA,DESMINERALIZADORES DE AGUA POR MEDIO DEL SISTEMA DE ÓSMOSIS INVERSA,2021-08-24,2021-12-31,930731.6,MXN,Expirado,0,0,MER551201D48,MERCK SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2031021
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2326610,5310,CAMARA DIGITAL DE FONDO DE OJO NO MIDRIATICA PORTATIL MARCA: CARL ZEISS MODELO: ,AA-012NCD001-E396-2021,,2021-09-07 16:48,2021-08-25 00:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2582730,CAMARA DIGITAL DE FONDO DE OJO NO MIDRIATICA PORTATIL MARCA: CARL ZEISS MODELO: VISUSCOUT 100,,2021-08-25,2021-12-31,199680,MXN,Expirado,0,0,CZM770124B99,CARL ZEISS DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2031126
IMSS,Instituto Mexicano del Seguro Social,IMSS-UMAE HOSPITAL DE PEDIATRÍA SILVESTRE FRENK FREUND DEL CMN SIGLO XXI #050GYR067,2322193,3540,"SUMINISTRO DE FILTROS HEPA EN QUIRÓFANO, EJERCICIO 2021 ",AA-050GYR067-E218-2021,,2021-09-07 15:01,2021-09-02 11:10,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2582745,"SUMINISTRO DE FILTROS HEPA EN QUIRÓFANO, EJERCICIO 2021","SUMINISTRO DE FILTROS HEPA EN QUIRÓFANO, EJERCICIO 2021
",2021-09-03,2021-10-15,686401.5,MXN,Expirado,0,0,VIN690429H43,DE VECCHI INGENIEROS SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2030987
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Subdirección de Recursos Materiales #011L4J995,2342335,5310,MICROSCOPIO,AA-011L4J995-E1302-2021,,2021-10-08 00:38,2021-10-08 20:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2603199,MICROSCOPIO,"MICROSCOPIO
",2021-10-08,2021-11-08,190000,MXN,Expirado,0,0,DLG1204274W6,DISTRIBUIDORA LGSCIENCE SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2044045
CIAD,"Centro de Investigación en Alimentación y Desarrollo, A.C.",CIAD-Subdirección de Recursos Materiales #0389ZY998,2373334,5310,EQUIPO MEDICO Y DE LABORATORIO,AA-0389ZY998-E536-2021,,2021-12-02 22:53,2021-12-26 23:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Mixta,2645532,EQUIPO MEDICO Y DE LABORATORIO,HOMOGENIZADOR O PROCESADOR ULTRASONICO,2021-10-28,2021-12-26,150215.63,MXN,Expirado,0,0,CTR831122N85,CONTROL TECNICO Y REPRESENTACIONES SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2069277
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2358850,2950,MOTOR PNEUMATIC 7100 ASSY NO. DE PARTE 1009-8000-000 VENT MON BRD SUBCAL 7100 NO,AA-012NCD001-E524-2021,,2021-11-29 15:59,2021-10-12 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2627349,MOTOR PNEUMATIC 7100 ASSY NO. DE PARTE 1009-8000-000 VENT MON BRD SUBCAL 7100 NO. DE PARTE 1009-8002-000,"MOTOR PNEUMATIC 7100 ASSY NO. DE PARTE 1009-8000-000
VENT MON BRD SUBCAL 7100 NO. DE PARTE 1009-8002-000
",2021-10-12,2021-12-31,181400,MXN,Expirado,0,0,SBI180305SYA,SERVICIOS BIOMEDICOS INTEGRALES CRUGA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2066872
CIQA,Centro de Investigación en Química Aplicada,"CIQA-Centro De Investigación en Química Aplicada, Depto. de Rec Mat. #03890U001",2236546,3540,POLIZA DE MANTENIMIENTO XPS VERSA PROBE II,AA-03890U001-E24-2021,,2021-03-05 14:40,2021-02-09 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Mixta,2649427,POLIZA DE MANTENIMIENTO XPS VERSA PROBE II,"POLIZA DE MANTENIMIENTO XPS VERSA PROBE II
",2021-02-09,2021-12-31,514706.4,MXN,Expirado,0,0,,PHYSICAL ELECTRONICS USA,,US,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1956084
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2358860,2950,"KIT, SCALE SYSTEM CONNECTION C, 2239100032, PARA CAMA BARIATRICA, JOERNS",AA-012NCD001-E534-2021,,2021-12-02 00:37,2021-10-12 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2627359,"KIT, SCALE SYSTEM CONNECTION C, 2239100032, PARA CAMA BARIATRICA, JOERNS","KIT, SCALE SYSTEM CONNECTION C, 2239100032, PARA CAMA BARIATRICA, JOERNS",2021-10-12,2021-12-31,46302.4,MXN,Expirado,0,0,SME940415JQ1,STRYKER MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2068466
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2358857,2950,MANGUERA DE PRESION ARTERIAL CON ENCHUFE RAPIDO (PART #: 4500-34),AA-012NCD001-E531-2021,,2021-12-01 23:55,2021-10-12 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2627356,MANGUERA DE PRESION ARTERIAL CON ENCHUFE RAPIDO (PART #: 4500-34),"MANGUERA DE PRESION ARTERIAL CON ENCHUFE RAPIDO (PART #: 4500-34)
",2021-10-12,2021-12-31,185050,MXN,Expirado,0,0,QMS061004V2A,QUALITY MEDICAL SERVICE SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=2068451
