Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones de la Delegación Chiapas #050GYR004,1740918,5310,IA-050GYR004-E125-2018 - Adq. de Consumibles p/Medi. Fisica y rehabi / rlbl ,IA-050GYR004-E125-2018,2018-08-01,2018-07-12 14:39,2018-07-25 11:00,Internacional bajo TLC,Adquisiciones,Invitación a Cuando Menos 3 Personas,Presencial,1895991,CONTRATO PARA LA ADQUISICION DE CONSUMIBLES PARA MEDICINA FISICA Y REHABILITACION,IA-050GYR004-E125-2018 - Adq. de Consumibles p/Medi. Fisica y rehabi / rlbl,2018-08-02,2018-12-31,986339.12,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1507432
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones de la Delegación Veracruz Norte #050GYR014,1746073,2950,AA-050GYR014-E281-2018 ADQ. DE ACCESORIOS PARA EQ. MEDICO,AA-050GYR014-E281-2018,,2018-07-17 09:06,2018-07-20 09:00,Internacional bajo TLC,Adquisiciones,Adjudicación Directa Federal,Electrónica,1874096,D8P0490,AA-050GYR014-E281-2018 ADQ. DE ACCESORIOS PARA EQ. MEDICO ,2018-07-24,2018-08-02,351000,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1512428
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones de la Delegación Veracruz Norte #050GYR014,1662697,5310,AA-050GYR014-E62-2018 ADQ. TRANSDUCTORES HGZ 11 (INFORMATIVA) MARIO,AA-050GYR014-E62-2018,,2018-05-07 14:55,2018-04-16 11:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Presencial,1796895,D8P0264,AA-050GYR014-E62-2018 ADQ. TRANSDUCTORES HGZ 11 (INFORMATIVA) MARIO ,2018-04-18,2018-04-27,159311.6,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1454709
CRAE,Centro Regional de Alta Especialidad de Chiapas,CRAE-CENTRO REGIONAL DE ALTA ESPECIALIDAD DE CHIAPAS #012M7A001,1761993,3540,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE RAYOS X PORTATIL,AA-012M7A001-E266-2018,,2018-07-31 18:47,2018-07-29 23:00,Nacional,Servicios,Adjudicación Directa Federal,Presencial,1879712,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE RAYOS X PORTATIL,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE RAYOS X PORTATIL,2018-08-01,2018-09-15,274500,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1526755
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR023,1617362,3540,LA-019GYR023-E49-2018 MANTENIMIENTO PREVENTIO Y CORRECTIVO DE EQUIPOS DE RAYOS X,LA-019GYR023-E49-2018,2018-03-26,2018-03-01 19:25,2018-03-21 12:00,Nacional,Servicios,Licitación Pública,Electrónica,1795689,LA-019GYR023-E49-2018 MANTENIMIENTO PREVENTIO Y CORRECTIVO DE EQUIPOS DE RAYOS X ,MANTENIMIENTO PREVENTIO Y CORRECTIVO DE EQUIPOS DE RAYOS X ,2018-04-19,2018-12-31,701802,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1402117
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones Delegación Morelos #050GYR007,1779483,2950,S18/AD/304/2018 CONSUMIBLES MEDICOS,AA-050GYR007-E447-2018,,2018-08-21 11:13,2018-08-24 11:00,Internacional bajo TLC,Adquisiciones,Adjudicación Directa Federal,Electrónica,1935372,S18/AD/304/2018,S18/AD/304/2018 CONSUMIBLES MEDICOS,2018-09-13,2018-09-20,677291.27,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1543634
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones Delegación Morelos #050GYR007,1688935,2950,CONSUMIBLES DE EQUIPOS MÉDICOS Y DE LABORATORIO,LA-050GYR007-E111-2018,2018-07-05,2018-05-15 13:44,2018-07-09 09:00,Internacional bajo TLC,Adquisiciones,Licitación Pública,Electrónica,1889754,LA-050GYR007-E111-2018 AQDUISICION DE CONSUMIBLES MEDICOS,LA-050GYR007-E111-2018 ADQUISICIÓN DE CONSUMIBLES MÉDICOS,2018-08-06,2018-08-10,41460.59,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1460407
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones de la Delegación Veracruz Norte #050GYR014,1737341,5310,AA-050GYR014-E248-2018 ADQ. DE TRANSDUCTOR HGZ 11 (INFORMATIVA),AA-050GYR014-E248-2018,,2018-07-17 13:19,2018-07-13 13:00,Internacional,Adquisiciones,Adjudicación Directa Federal,Presencial,1867862,D8P0471,AA-050GYR014-E248-2018 ADQ. DE TRANSDUCTOR HGZ 11 (INFORMATIVA) ,2018-07-20,2018-07-26,79655.8,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1513116
IMSS,Instituto Mexicano del Seguro Social,IMSS-Oficina de Adquisiciones de la Delegación Chiapas #050GYR004,1754940,3540,AA-050GYR004-E164-2018 - SERVICIO DE MANTENIMIENTO A MICROTOMO / gklt,AA-050GYR004-E164-2018,,2018-08-01 14:34,2018-07-27 10:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,1897331,CONTRATO DE SERVICIO DE MANTENIMIENTO A MICROTOMO,CONTRATO PARA EL SERVICIO DE MANTENIMIENTO A EQUIPO MEDICO,2018-08-01,2018-12-31,153000,MXN,Expirado,0,0,IBS050524DJ6,INGENIERIA BIOMEDICA PARA LA SALUD SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1528085
INSP,Instituto Nacional de Salud Pública,INSP-Departamento de Abastecimiento #012NDY002,1760075,5310,RP 046-18,AA-012NDY002-E124-2018,,2018-08-30 11:27,2018-07-03 23:00,Internacional,Adquisiciones,Adjudicación Directa Federal,Presencial,1912751,RP 046-18,"CENTRIFUGA DE MESA PORTATIL 20 PZ  839,920.00",2018-07-05,2018-07-20,839920,MXN,Expirado,0,0,REA860929RA2,COMPANIA REAMEX SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1550019
